"Golden Ratio","0.381966","0.236068","0.072949","0.030057","0.011146","0.004305","0.001637","0.000626","0.000239","0.000091","0.000035","0.000013","0.000005","0.000002","0.000001","0.000000","0.000000","0.000000","0.000000"
"Golden Ratio Conjugate","1.000000","0.618034","0.190983","0.078689","0.029180","0.011271","0.004287","0.001640","0.000626","0.000239","0.000091","0.000035","0.000013","0.000005","0.000002","0.000001","0.000000","0.000000","0.000000"
"Pi","0.045070","0.000402","0.000026","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"Sqrt(2)","0.292893","0.060660","0.010051","0.001735","0.000297","0.000051","0.000009","0.000002","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"Sqrt(3)","0.422650","0.154701","0.037750","0.010363","0.002759","0.000740","0.000198","0.000053","0.000014","0.000004","0.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"Sqrt(5)","0.105573","0.006231","0.000346","0.000019","0.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"Sqrt(7)","0.244071","0.133893","0.055089","0.007905","0.001094","0.000494","0.000223","0.000031","0.000004","0.000002","0.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
