"Golden Ratio","0.381966","0.236068","0.072949","0.030057","0.011146","0.004305","0.001637","0.000626","0.000239","0.000091","0.000035","0.000013","0.000005","0.000002","0.000001","0.000000","0.000000","0.000000","0.000000"
"Pi","0.045070","0.000402","0.000026","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"A","0.267949","0.098076","0.023932","0.006570","0.001749","0.000469","0.000126","0.000034","0.000009","0.000002","0.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"B","0.418861","0.162278","0.031435","0.016993","0.003762","0.000850","0.000441","0.000099","0.000022","0.000012","0.000003","0.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"C","0.367007","0.265986","0.050510","0.012789","0.005296","0.002239","0.000537","0.000129","0.000054","0.000023","0.000005","0.000001","0.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
